"CustomerId","FirstName","LastName","revenue","customer_rank"
6,"Helena","Holý",49.62,1
26,"Richard","Cunningham",47.62,2
57,"Luis","Rojas",46.62,3
45,"Ladislav","Kovács",45.62,4
46,"Hugh","O'Reilly",45.62,4
28,"Julia","Barnett",43.62,6
37,"Fynn","Zimmermann",43.62,6
24,"Frank","Ralston",43.62,6
7,"Astrid","Gruber",42.62,9
25,"Victor","Stevens",42.62,9
44,"Terhi","Hämäläinen",41.62,11
48,"Johannes","Van der Berg",40.62,12
5,"František","Wichterlová",40.62,12
43,"Isabelle","Mercier",40.62,12
3,"François","Tremblay",39.62,15
4,"Bjørn","Hansen",39.62,15
34,"João","Fernandes",39.62,15
22,"Heather","Leacock",39.62,15
42,"Wyatt","Girard",39.62,15
17,"Jack","Smith",39.62,15
20,"Dan","Miller",39.62,15
1,"Luís","Gonçalves",39.62,15
51,"Joakim","Johansson",38.62,23
19,"Tim","Goyer",38.62,23
40,"Dominique","Lefebvre",38.62,23
15,"Jennifer","Peterson",38.62,23
58,"Manoj","Pareek",38.62,23
39,"Camille","Bernard",38.62,23
9,"Kara","Nielsen",37.62,29
38,"Niklas","Schröder",37.62,29
31,"Martha","Silk",37.62,29
12,"Roberto","Almeida",37.62,29
36,"Hannah","Schneider",37.62,29
35,"Madalena","Sampaio",37.62,29
10,"Eduardo","Martins",37.62,29
30,"Edward","Francis",37.62,29
21,"Kathy","Chase",37.62,29
49,"Stanisław","Wójcik",37.62,29
47,"Lucas","Mancini",37.62,29
29,"Robert","Brown",37.62,29
56,"Diego","Gutiérrez",37.62,29
52,"Emma","Jones",37.62,29
13,"Fernanda","Ramos",37.62,29
41,"Marc","Dubois",37.62,29
14,"Mark","Philips",37.62,29
32,"Aaron","Mitchell",37.62,29
53,"Phil","Hughes",37.62,29
50,"Enrique","Muñoz",37.62,29
23,"John","Gordon",37.62,29
33,"Ellie","Sullivan",37.62,29
8,"Daan","Peeters",37.62,29
54,"Steve","Murray",37.62,29
18,"Michelle","Brooks",37.62,29
55,"Mark","Taylor",37.62,29
27,"Patrick","Gray",37.62,29
2,"Leonie","Köhler",37.62,29
16,"Frank","Harris",37.62,29
11,"Alexandre","Rocha",37.62,29
59,"Puja","Srivastava",36.64,59
